meta,agent,attempt,baseline,expression,parameters,tree_nodes,train_rho_error,train_velocity_error,train_data_error,validation_rho_error,validation_velocity_error,validation_data_error,validation_fitness,feasible,optimizer_success,optimizer_evaluations,seed,fit_runtime_seconds,peak_rss_mb,source
meta_2,agent_2,attempt_3,Del Castillo,exp(a*(rho-0.307660845) + b*(rho-0.307660845)^2 + c*(rho-0.307660845)^3),"[0.019765335094207748, 2.35301793610878, -4.998935966337865]",22,7.2165751457214355,6.412160873413086,6.81436824798584,6.403677940368652,8.915874481201172,7.659776210784912,7.879776210784912,True,False,90,5134,23.828580158000477,5278.91796875,meta_2/agent_2/attempt_3/results.json
meta_2,agent_3,attempt_1,Greenshields,1 + a*rho,[-0.0587823927871582],5,7.506843090057373,6.794493198394775,7.150668144226074,10.009268760681152,7.653007507324219,8.831138610839844,8.881138610839844,True,,,6110,14.683832476000134,903.24609375,meta_2/agent_3/attempt_1/results.json
meta_2,agent_3,attempt_1,IDM,1 + a*rho,[-0.27337868770114404],5,7.132697582244873,7.604856491088867,7.368777275085449,6.897742748260498,8.37674617767334,7.63724422454834,7.68724422454834,True,,,6111,44.1561468509999,1505.56640625,meta_2/agent_3/attempt_1/results.json
meta_2,agent_3,attempt_1,Weidmann,1 + a*rho,[0.16375362278426278],5,8.043331146240234,6.201798915863037,7.122565269470215,7.3766608238220215,6.638988494873047,7.007824897766113,7.057824897766113,True,,,6112,10.308894456999951,1683.359375,meta_2/agent_3/attempt_1/results.json
meta_2,agent_3,attempt_1,Triangular,1 + a*rho,[-0.18032558367332555],5,7.768465518951416,10.36376667022705,9.066116333007812,6.4954023361206055,8.901710510253906,7.698556423187256,7.748556423187256,True,,,6113,11.278051232000507,1872.46484375,meta_2/agent_3/attempt_1/results.json
meta_2,agent_3,attempt_1,Del Castillo,1 + a*rho,[-0.07907410620274553],5,7.247148036956787,6.744029521942139,6.995588779449463,6.037877082824707,7.40673303604126,6.7223052978515625,6.772305297851562,True,,,6114,23.062247285000012,2198.30078125,meta_2/agent_3/attempt_1/results.json
meta_2,agent_3,attempt_2,Greenshields,(1 + a*rho)/(1 + b*rho),"[-0.05905643163540827, -0.00012482375995692197]",11,7.5063934326171875,6.7949419021606445,7.150667667388916,10.00516414642334,7.653353214263916,8.829258918762207,8.939258918762206,True,,,6120,16.435094007999396,946.515625,meta_2/agent_3/attempt_2/results.json
meta_2,agent_3,attempt_2,IDM,(1 + a*rho)/(1 + b*rho),"[1.8032682554211275, 2.55171354436223]",11,7.157116413116455,6.793112277984619,6.975114345550537,6.9102606773376465,9.460092544555664,8.185176849365234,8.295176849365234,True,,,6121,47.71079159199962,1622.93359375,meta_2/agent_3/attempt_2/results.json
meta_2,agent_3,attempt_2,Weidmann,(1 + a*rho)/(1 + b*rho),"[0.15918911595657909, -0.008811464490498076]",11,8.036165237426758,6.208271503448486,7.122218132019043,7.467092037200928,6.688442707061768,7.077767372131348,7.187767372131348,True,,,6122,15.357549657999698,1881.4375,meta_2/agent_3/attempt_2/results.json
meta_2,agent_3,attempt_2,Triangular,(1 + a*rho)/(1 + b*rho),"[0.1975289369648888, 0.42474298613152855]",11,7.759993076324463,10.304924011230469,9.032458305358887,6.5124192237854,9.105995178222656,7.809206962585449,7.9192069625854495,True,,,6123,16.66490420900027,2157.65625,meta_2/agent_3/attempt_2/results.json
meta_2,agent_3,attempt_2,Del Castillo,(1 + a*rho)/(1 + b*rho),"[-0.07953900712642639, -0.00027363675387986317]",11,7.246859073638916,6.744312286376953,6.9955854415893555,6.037746429443359,7.411695957183838,6.7247209548950195,6.83472095489502,True,,,6124,24.41723465799987,2490.7265625,meta_2/agent_3/attempt_2/results.json
meta_2,agent_3,attempt_3,Greenshields,(1 + a*rho + b*rho^2)/(1 + c*rho),"[-0.05905643163540827, -0.04344204672881144, 0.0]",17,7.454810619354248,6.83823299407959,7.14652156829834,9.44196891784668,7.6821818351745605,8.5620756149292,8.7320756149292,True,,,6130,16.8011753210003,960.16015625,meta_2/agent_3/attempt_3/results.json
meta_2,agent_3,attempt_3,IDM,(1 + a*rho + b*rho^2)/(1 + c*rho),"[0.6804113861774153, 3.4887393611320876, 2.933020237548784]",17,7.439164161682129,5.860002517700195,6.649583339691162,9.340753555297852,6.780552387237549,8.060652732849121,8.230652732849121,True,,,6131,43.89362814600008,1642.09765625,meta_2/agent_3/attempt_3/results.json
meta_2,agent_3,attempt_3,Weidmann,(1 + a*rho + b*rho^2)/(1 + c*rho),"[3.5080968276107023, 2.270760694982263, 3.989828642447319]",17,7.758569240570068,5.771022319793701,6.764795780181885,10.653430938720703,8.080384254455566,9.366907119750977,9.536907119750976,True,,,6132,18.522625444999903,1934.625,meta_2/agent_3/attempt_3/results.json
meta_2,agent_3,attempt_3,Triangular,(1 + a*rho + b*rho^2)/(1 + c*rho),"[0.46797349219050993, 3.5761579520050306, 2.1323596044094066]",17,8.621256828308105,8.682327270507812,8.651792526245117,13.180255889892578,7.910118103027344,10.545186996459961,10.71518699645996,True,,,6133,15.474748890000228,2229.7890625,meta_2/agent_3/attempt_3/results.json
meta_2,agent_3,attempt_3,Del Castillo,(1 + a*rho + b*rho^2)/(1 + c*rho),"[0.344825836310573, -0.37343236160698146, 0.261582857221359]",17,7.162547588348389,6.733166217803955,6.947856903076172,6.086177825927734,7.907074928283691,6.996626377105713,7.166626377105713,True,,,6134,22.797044502000062,2588.06640625,meta_2/agent_3/attempt_3/results.json
